Ontario,214
Southern Ontario Region,192
Hamilton-Wentworth Regional Municipality,0
Hamilton Division,153
Niagara Regional Municipality,134
Haldimand-Norfolk Regional Municipality,218
Brant County,230
Oxford County,204
Elgin County,178
Chatham-Kent Division,90
Essex County,155
Lambton County,226
Middlesex County,252
Kent County,0
Western Ontario Region,275
Peel County/ Regional Municipality,57
Dufferin County,252
Wellington County,299
Halton County/ Regional Municipality,211
Waterloo County/ Regional Municipality,232
Perth County,338
Huron County,300
Bruce County,293
Grey County,225
Simcoe County,160
Central Ontario Region,135
Hastings County,43
Prince Edward County/ Division,112
Northumberland County,150
Peterborough County,62
Victoria County/Kawartha Lakes Division,128
Durham County/ Regional Municipality,100
York Regional Municipality,214
Toronto Metro Municipality,0
Muskoka County/ District Municipality,-29
Haliburton County,-76
Parry Sound County/ District,375
Eastern Ontario Region,260
Stormont Dundas And Glengarry United Counties,340
Prescott And Russell United Counties,269
Ottawa Division,153
Leeds And Grenville United Counties,256
Lanark County,242
Frontenac County,170
Lennox & Addington County,110
Renfrew County,125
Ottawa-Carleton Regional Municipality,0
Northern Ontario Region,245
Nipissing County/ District,102
Manitoulin County/ District,127
Sudbury County/ District,39
Sudbury Regional/Greater Sudbury Division,416
Timiskaming County/ District,533
Cochrane County/ District,435
Algoma County/ District,54
Thunder Bay County/ District,437
Rainy River County/ District,22
Kenora County/District,515
