Ontario,58
Southern Ontario Region,103
Hamilton-Wentworth Regional Municipality,0
Hamilton Division,55
Niagara Regional Municipality,63
Haldimand-Norfolk Regional Municipality,84
Brant County,92
Oxford County,135
Elgin County,97
Chatham-Kent Division,154
Essex County,112
Lambton County,98
Middlesex County,106
Kent County,0
Western Ontario Region,59
Peel County/ Regional Municipality,37
Dufferin County,30
Wellington County,54
Halton County/ Regional Municipality,38
Waterloo County/ Regional Municipality,107
Perth County,115
Huron County,108
Bruce County,38
Grey County,16
Simcoe County,42
Central Ontario Region,27
Hastings County,14
Prince Edward County/ Division,18
Northumberland County,25
Peterborough County,14
Victoria County/Kawartha Lakes Division,19
Durham County/ Regional Municipality,42
York Regional Municipality,52
Toronto Metro Municipality,0
Muskoka County/ District Municipality,7
Haliburton County,6
Parry Sound County/ District,7
Eastern Ontario Region,26
Stormont Dundas And Glengarry United Counties,38
Prescott And Russell United Counties,33
Ottawa Division,49
Leeds And Grenville United Counties,15
Lanark County,11
Frontenac County,13
Lennox & Addington County,23
Renfrew County,12
Ottawa-Carleton Regional Municipality,0
Northern Ontario Region,8
Nipissing County/ District,4
Manitoulin County/ District,5
Sudbury County/ District,4
Sudbury Regional/Greater Sudbury Division,0
Timiskaming County/ District,15
Cochrane County/ District,4
Algoma County/ District,0
Thunder Bay County/ District,17
Rainy River County/ District,5
Kenora County/District,0
