Ontario,54
Southern Ontario Region,92
Hamilton-Wentworth Regional Municipality,59
Hamilton Division,0
Niagara Regional Municipality,70
Haldimand-Norfolk Regional Municipality,81
Brant County,84
Oxford County,100
Elgin County,35
Chatham-Kent Division,0
Essex County,101
Lambton County,78
Middlesex County,82
Kent County,128
Western Ontario Region,49
Peel County/ Regional Municipality,37
Dufferin County,26
Wellington County,42
Halton County/ Regional Municipality,35
Waterloo County/ Regional Municipality,66
Perth County,93
Huron County,82
Bruce County,37
Grey County,16
Simcoe County,40
Central Ontario Region,29
Hastings County,12
Prince Edward County/ Division,22
Northumberland County,28
Peterborough County,17
Victoria County/Kawartha Lakes Division,17
Durham County/ Regional Municipality,45
York Regional Municipality,52
Toronto Metro Municipality,0
Muskoka County/ District Municipality,6
Haliburton County,4
Parry Sound County/ District,11
Eastern Ontario Region,21
Stormont Dundas And Glengarry United Counties,35
Prescott And Russell United Counties,27
Ottawa Division,0
Leeds And Grenville United Counties,15
Lanark County,14
Frontenac County,11
Lennox & Addington County,12
Renfrew County,16
Ottawa-Carleton Regional Municipality,33
Northern Ontario Region,9
Nipissing County/ District,18
Manitoulin County/ District,4
Sudbury County/ District,0
Sudbury Regional/Greater Sudbury Division,0
Timiskaming County/ District,12
Cochrane County/ District,6
Algoma County/ District,11
Thunder Bay County/ District,18
Rainy River County/ District,4
Kenora County/District,4
