Ontario,25
Southern Ontario Region,16
Hamilton-Wentworth Regional Municipality,0
Hamilton Division,15
Niagara Regional Municipality,-16
Haldimand-Norfolk Regional Municipality,19
Brant County,21
Oxford County,21
Elgin County,8
Chatham-Kent Division,18
Essex County,15
Lambton County,19
Middlesex County,28
Kent County,0
Western Ontario Region,27
Peel County/ Regional Municipality,17
Dufferin County,25
Wellington County,47
Halton County/ Regional Municipality,28
Waterloo County/ Regional Municipality,3
Perth County,20
Huron County,28
Bruce County,23
Grey County,47
Simcoe County,13
Central Ontario Region,30
Hastings County,38
Prince Edward County/ Division,22
Northumberland County,10
Peterborough County,17
Victoria County/Kawartha Lakes Division,25
Durham County/ Regional Municipality,27
York Regional Municipality,38
Toronto Metro Municipality,0
Muskoka County/ District Municipality,21
Haliburton County,-41
Parry Sound County/ District,52
Eastern Ontario Region,39
Stormont Dundas And Glengarry United Counties,39
Prescott And Russell United Counties,48
Ottawa Division,41
Leeds And Grenville United Counties,14
Lanark County,78
Frontenac County,32
Lennox & Addington County,36
Renfrew County,1
Ottawa-Carleton Regional Municipality,0
Northern Ontario Region,31
Nipissing County/ District,-15
Manitoulin County/ District,24
Sudbury County/ District,-49
Sudbury Regional/Greater Sudbury Division,-3
Timiskaming County/ District,33
Cochrane County/ District,256
Algoma County/ District,-30
Thunder Bay County/ District,75
Rainy River County/ District,9
Kenora County/District,181
