Ontario,2527,2390,3028,4201,5985,9580,96,-5,27,39,42,60
Southern Ontario Region,2612,3058,4036,5382,7461,12011,40,17,32,33,39,61
Western Ontario Region,3074,2620,3577,5177,7523,11752,132,-15,37,45,45,56
Central Ontario Region,3813,2576,2793,3823,5034,7183,215,-32,8,37,32,43
Eastern Ontario Region,1247,1435,1642,2329,3506,6057,57,15,14,42,51,73
Northern Ontario Region,569,725,700,927,1299,1823,44,28,-3,33,40,40
