Stormont Dundas And Glengarry United Counties,496498,494589,477607,475571
Prescott And Russell United Counties,297384,296476,298666,306009
Ottawa Division,297644,283366,268325,252423
Leeds And Grenville United Counties,336650,328040,297317,276123
Lanark County,241972,232575,207498,186806
Frontenac County,205542,197128,175474,152949
Lennox & Addington County,197441,185835,166691,151327
Renfrew County,402978,387731,366550,326935
