Peel County/ Regional Municipality,104433,95289,93843,83339
Dufferin County,193162,190607,172344,156593
Wellington County,471389,485862,499176,466400
Halton County/ Regional Municipality,98758,88899,79567,68676
Waterloo County/ Regional Municipality,225800,226384,221087,214975
Perth County,502926,498161,506291,518023
Huron County,719066,723533,725546,735696
Bruce County,611461,613156,583239,558356
Grey County,593121,567212,490707,495483
Simcoe County,540870,533753,510584,496043
