Hamilton Division,138879,133205,130589,128532
Niagara Regional Municipality,232817,231728,222911,218251
Haldimand-Norfolk Regional Municipality,515099,502698,480155,462358
Brant County,158693,167356,160739,165270
Oxford County,445458,415974,395950,444142
Elgin County,382786,393595,361196,377269
Chatham-Kent Division,552402,553769,546615,590346
Essex County,334122,329776,328580,350218
Lambton County,604555,589407,591862,591591
Middlesex County,620321,617258,609344,615906
