Ontario,1.9,2.3,1.9,1.7,1.5,1.6
Southern Ontario,3,3,2.5,2.3,1.9,1.9
Western Ontario,1.4,1.9,1.6,1.4,1.3,1.3
Central Ontario,2.4,2.1,1.5,1.1,1,0.8
Eastern Ontario,1.5,1.2,1.8,1.4,1.1,1.6
Northern Ontario,0.8,0.8,0.7,0.5,0.6,0.9
