Western Ontario Region,4060986,4022856,3882384,3793584
Southern Ontario Region,3985132,3934766,3827941,3943883
Central Ontario Region,1973104,1924794,1773625,1665609
Eastern Ontario Region,2476109,2405740,2258128,2128143
Northern Ontario Region,1012026,1022060,926158,817244
