Ontario,7
Southern Ontario Region,12
Hamilton-Wentworth Regional Municipality,0
Hamilton Division,0
Niagara Regional Municipality,-9
Haldimand-Norfolk Regional Municipality,4
Brant County,9
Oxford County,35
Elgin County,172
Chatham-Kent Division,0
Essex County,11
Lambton County,26
Middlesex County,29
Kent County,0
Western Ontario Region,19
Peel County/ Regional Municipality,1
Dufferin County,16
Wellington County,27
Halton County/ Regional Municipality,7
Waterloo County/ Regional Municipality,63
Perth County,23
Huron County,32
Bruce County,4
Grey County,2
Simcoe County,5
Central Ontario Region,-5
Hastings County,11
Prince Edward County/ Division,-16
Northumberland County,-11
Peterborough County,-14
Victoria County/Kawartha Lakes Division,7
Durham County/ Regional Municipality,-6
York Regional Municipality,0
Toronto Metro Municipality,0
Muskoka County/ District Municipality,17
Haliburton County,48
Parry Sound County/ District,-37
Eastern Ontario Region,20
Stormont Dundas And Glengarry United Counties,10
Prescott And Russell United Counties,22
Ottawa Division,0
Leeds And Grenville United Counties,1
Lanark County,-17
Frontenac County,16
Lennox & Addington County,98
Renfrew County,-27
Ottawa-Carleton Regional Municipality,0
Northern Ontario Region,-13
Nipissing County/ District,-79
Manitoulin County/ District,11
Sudbury County/ District,0
Sudbury Regional/Greater Sudbury Division,0
Timiskaming County/ District,23
Cochrane County/ District,-22
Algoma County/ District,0
Thunder Bay County/ District,-6
Rainy River County/ District,16
Kenora County/District,0
