Ontario,47
Southern Ontario Region,78
Hamilton-Wentworth Regional Municipality,54
Hamilton Division,0
Niagara Regional Municipality,72
Haldimand-Norfolk Regional Municipality,73
Brant County,69
Oxford County,83
Elgin County,71
Chatham-Kent Division,0
Essex County,89
Lambton County,67
Middlesex County,70
Kent County,104
Western Ontario Region,42
Peel County/ Regional Municipality,37
Dufferin County,23
Wellington County,38
Halton County/ Regional Municipality,34
Waterloo County/ Regional Municipality,59
Perth County,71
Huron County,63
Bruce County,31
Grey County,16
Simcoe County,37
Central Ontario Region,28
Hastings County,20
Prince Edward County/ Division,23
Northumberland County,22
Peterborough County,18
Victoria County/Kawartha Lakes Division,19
Durham County/ Regional Municipality,0
York Regional Municipality,52
Toronto Metro Municipality,0
Muskoka County/ District Municipality,13
Haliburton County,11
Parry Sound County/ District,5
Eastern Ontario Region,22
Stormont Dundas And Glengarry United Counties,33
Prescott And Russell United Counties,26
Ottawa Division,0
Leeds And Grenville United Counties,13
Lanark County,14
Frontenac County,12
Lennox & Addington County,15
Renfrew County,15
Ottawa-Carleton Regional Municipality,38
Northern Ontario Region,9
Nipissing County/ District,11
Manitoulin County/ District,6
Sudbury County/ District,7
Sudbury Regional/Greater Sudbury Division,16
Timiskaming County/ District,10
Cochrane County/ District,5
Algoma County/ District,8
Thunder Bay County/ District,12
Rainy River County/ District,15
Kenora County/District,3
