Action Rogue Like, Arcade & Rhythm, Fighting & Martial Arts, First Person Shooter, Hack & Slash
Building & Automation, Dating, Farming & Crafting, Space & Flight, Sandbox & Physics
Real-Time Strategy, City & Settlement, Grand & 4X, Military, Tower Defense
